Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.01,0.9099999999999999,0.39387277302139023
100% Corpus,4,0.01,symmetric,0.4370836778277661
100% Corpus,4,0.31,0.01,0.4157142438783523
100% Corpus,4,0.31,0.31,0.4101541946019158
100% Corpus,4,0.31,0.61,0.4676868687407778
100% Corpus,4,0.31,0.9099999999999999,0.4356083612339107
100% Corpus,4,0.31,symmetric,0.4112911572479723
100% Corpus,4,0.61,0.01,0.4741638316099534
100% Corpus,4,0.61,0.31,0.4641140447815434
100% Corpus,4,0.61,0.61,0.43435940987919114
100% Corpus,4,0.61,0.9099999999999999,0.45668372439281635
100% Corpus,4,0.61,symmetric,0.4697987798802108
100% Corpus,4,0.9099999999999999,0.01,0.46033708944850005
100% Corpus,4,0.9099999999999999,0.31,0.439673464532206
100% Corpus,4,0.9099999999999999,0.61,0.4383554149573953
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.43960143765604953
100% Corpus,4,0.9099999999999999,symmetric,0.48978245836501
100% Corpus,4,symmetric,0.01,0.42338058310437326
100% Corpus,4,symmetric,0.31,0.40726317333870043
100% Corpus,4,symmetric,0.61,0.44065436692864085
100% Corpus,4,symmetric,0.9099999999999999,0.4322090238857921
100% Corpus,4,symmetric,symmetric,0.40798887696453545
100% Corpus,4,asymmetric,0.01,0.41333240525574666
100% Corpus,4,asymmetric,0.31,0.4328361030132779
100% Corpus,4,asymmetric,0.61,0.451421377169009
100% Corpus,4,asymmetric,0.9099999999999999,0.46950210403754894
100% Corpus,4,asymmetric,symmetric,0.42060024410209607
100% Corpus,5,0.01,0.01,0.4210329434661818
100% Corpus,5,0.01,0.31,0.40667475176405044
100% Corpus,5,0.01,0.61,0.3787515490902916
100% Corpus,5,0.01,0.9099999999999999,0.4090380466874888
100% Corpus,5,0.01,symmetric,0.4067506271004128
100% Corpus,5,0.31,0.01,0.4642474156264245
100% Corpus,5,0.31,0.31,0.47337906951539904
100% Corpus,5,0.31,0.61,0.3906520853495146
100% Corpus,5,0.31,0.9099999999999999,0.3713901030391441
100% Corpus,5,0.31,symmetric,0.4571648973381156
100% Corpus,5,0.61,0.01,0.4919725103504251
100% Corpus,5,0.61,0.31,0.4781933691012047
100% Corpus,5,0.61,0.61,0.4902764166465081
100% Corpus,5,0.61,0.9099999999999999,0.488792335224694
100% Corpus,5,0.61,symmetric,0.47728854151454725
100% Corpus,5,0.9099999999999999,0.01,0.48791807415958716
100% Corpus,5,0.9099999999999999,0.31,0.4780674997872911
100% Corpus,5,0.9099999999999999,0.61,0.5008784544142868
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4962967586670607
